Code,A,B,PTYPE
3000,2460.0,14472.0,Property
3002,94.0,476.0,Property
3003,77.0,408.0,Property
3004,6.0,177.0,Property
3005,,,Property
3006,265.0,1195.0,Property
3008,101.0,663.0,Property
3010,,,Property
3011,385.0,1958.0,Property
3012,249.0,1543.0,Property
3013,101.0,785.0,Property
3015,107.0,956.0,Property
3016,148.0,1030.0,Property
3018,122.0,713.0,Property
3019,104.0,799.0,Property
3020,759.0,3610.0,Property
3021,758.0,3199.0,Property
3022,31.0,546.0,Property
3023,644.0,3235.0,Property
3024,124.0,868.0,Property
3025,149.0,903.0,Property
3026,70.0,461.0,Property
3027,5.0,156.0,Property
3028,310.0,1467.0,Property
3029,621.0,4180.0,Property
3030,708.0,4514.0,Property
3031,294.0,1302.0,Property
3032,303.0,2281.0,Property
3033,187.0,521.0,Property
3034,61.0,251.0,Property
3036,15.0,207.0,Property
3037,335.0,1896.0,Property
3038,229.0,1433.0,Property
3039,147.0,1090.0,Property
3040,199.0,1136.0,Property
3041,67.0,511.0,Property
3042,118.0,1148.0,Property
3043,214.0,1216.0,Property
3044,165.0,1063.0,Property
3045,39.0,446.0,Property
3046,456.0,1590.0,Property
3047,579.0,2113.0,Property
3048,360.0,874.0,Property
3049,98.0,309.0,Property
3051,200.0,987.0,Property
3052,139.0,512.0,Property
3053,177.0,1437.0,Property
3054,57.0,391.0,Property
3055,77.0,521.0,Property
3056,280.0,1818.0,Property
3057,60.0,477.0,Property
3058,369.0,2353.0,Property
3059,60.0,386.0,Property
3060,172.0,738.0,Property
3061,147.0,1061.0,Property
3062,9.0,107.0,Property
3063,9.0,11.0,Property
3064,762.0,2411.0,Property
3065,285.0,1573.0,Property
3066,235.0,965.0,Property
3067,92.0,530.0,Property
3068,131.0,1024.0,Property
3070,162.0,1288.0,Property
3071,154.0,907.0,Property
3072,562.0,3223.0,Property
3073,476.0,2293.0,Property
3074,323.0,1793.0,Property
3075,237.0,945.0,Property
3076,414.0,1935.0,Property
3078,66.0,497.0,Property
3079,84.0,492.0,Property
3081,361.0,796.0,Property
3082,292.0,1274.0,Property
3083,202.0,1275.0,Property
3084,180.0,757.0,Property
3085,101.0,331.0,Property
3086,,,Property
3087,86.0,323.0,Property
3088,268.0,978.0,Property
3089,95.0,304.0,Property
3090,9.0,57.0,Property
3091,3.0,36.0,Property
3093,24.0,65.0,Property
3094,63.0,168.0,Property
3095,131.0,503.0,Property
3096,5.0,21.0,Property
3097,3.0,12.0,Property
3099,44.0,96.0,Property
3101,107.0,830.0,Property
3102,20.0,151.0,Property
3103,32.0,376.0,Property
3104,56.0,378.0,Property
3105,49.0,266.0,Property
3106,63.0,211.0,Property
3107,48.0,158.0,Property
3108,145.0,1214.0,Property
3109,112.0,552.0,Property
3111,25.0,132.0,Property
3113,30.0,92.0,Property
3114,53.0,41.0,Property
3115,8.0,28.0,Property
3116,38.0,361.0,Property
3121,369.0,2688.0,Property
3122,183.0,1216.0,Property
3123,29.0,335.0,Property
3124,97.0,859.0,Property
3125,88.0,558.0,Property
3126,28.0,196.0,Property
3127,58.0,477.0,Property
3128,228.0,1146.0,Property
3129,53.0,290.0,Property
3130,136.0,716.0,Property
3131,108.0,1080.0,Property
3132,63.0,804.0,Property
3133,67.0,438.0,Property
3134,283.0,1751.0,Property
3135,112.0,550.0,Property
3136,485.0,1115.0,Property
3137,96.0,540.0,Property
3138,201.0,535.0,Property
3139,65.0,232.0,Property
3140,221.0,797.0,Property
3141,235.0,1368.0,Property
3142,80.0,713.0,Property
3143,47.0,356.0,Property
3144,75.0,714.0,Property
3145,128.0,1341.0,Property
3146,97.0,529.0,Property
3147,98.0,472.0,Property
3148,130.0,609.0,Property
3149,136.0,1487.0,Property
3150,228.0,1432.0,Property
3151,45.0,289.0,Property
3152,275.0,1415.0,Property
3153,222.0,1312.0,Property
3154,23.0,112.0,Property
3155,301.0,1073.0,Property
3156,289.0,1266.0,Property
3158,50.0,208.0,Property
3159,8.0,53.0,Property
3160,47.0,368.0,Property
3161,62.0,449.0,Property
3162,113.0,487.0,Property
3163,125.0,818.0,Property
3165,140.0,491.0,Property
3166,173.0,1140.0,Property
3167,71.0,336.0,Property
3168,202.0,1422.0,Property
3169,147.0,508.0,Property
3170,110.0,809.0,Property
3171,289.0,1207.0,Property
3172,158.0,483.0,Property
3173,167.0,808.0,Property
3174,547.0,1383.0,Property
3175,1274.0,4680.0,Property
3177,247.0,522.0,Property
3178,197.0,783.0,Property
3179,39.0,222.0,Property
3180,48.0,306.0,Property
3181,368.0,1649.0,Property
3182,593.0,2410.0,Property
3183,128.0,699.0,Property
3184,130.0,515.0,Property
3185,68.0,654.0,Property
3186,107.0,905.0,Property
3187,55.0,349.0,Property
3188,130.0,576.0,Property
3189,132.0,779.0,Property
3190,99.0,523.0,Property
3191,54.0,575.0,Property
3192,186.0,1412.0,Property
3193,58.0,425.0,Property
3194,110.0,586.0,Property
3195,285.0,1234.0,Property
3196,245.0,720.0,Property
3197,106.0,388.0,Property
3198,257.0,1051.0,Property
3199,1171.0,4317.0,Property
3200,153.0,353.0,Property
3201,260.0,916.0,Property
3202,19.0,77.0,Property
3204,155.0,923.0,Property
3205,267.0,1505.0,Property
3206,71.0,611.0,Property
3207,282.0,1128.0,Property
3211,3.0,68.0,Property
3212,185.0,506.0,Property
3214,578.0,2257.0,Property
3215,170.0,1007.0,Property
3216,315.0,1760.0,Property
3217,1.0,30.0,Property
3218,110.0,600.0,Property
3219,223.0,1133.0,Property
3220,400.0,2133.0,Property
3221,39.0,255.0,Property
3222,50.0,275.0,Property
3223,34.0,199.0,Property
3224,36.0,249.0,Property
3225,19.0,114.0,Property
3226,35.0,331.0,Property
3227,12.0,189.0,Property
3228,66.0,496.0,Property
3230,16.0,102.0,Property
