Code,Area sqkm,Tot_P_M,Tot_P_F,Tot_P_P,R_Tot_Total,O_Tot_Total,0-9F,0-9M,10-19F,10-19M,20-29F,20-29M,30-39F,30-39M,40-49F,40-49M,50-59F,50-59M,60-69F,60-69M,70-79F,70-79M,80-89F,80-89M,90+F,90+M,Median_Tot_fam_inc_weekly,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,A,B
3000,2.49057,10431,10196,20627,6423,2919,534,578,1874,1620,11394,10780,3270,4148,1378,1554,1038,1116,566,720,206,242,55,49,11,3,1446,1056,1066,171,227,2829,2870,728,775,549,372,2460.0,14472.0
3002,1.39918,2244,2470,4714,1194,927,216,200,120,160,1318,1018,1046,1078,536,576,618,552,586,554,216,228,105,49,37,12,2693,305,278,80,124,746,819,160,215,134,113,94.0,476.0
3003,6.59269,2118,1626,3744,796,526,186,214,206,222,1310,1544,674,1114,380,576,234,312,166,178,62,54,17,11,0,0,2006,156,165,47,72,467,449,125,151,155,70,77.0,408.0
3004,3.74157,3878,3859,7737,1925,1662,342,304,390,336,2324,2120,1604,1882,816,902,832,794,740,854,340,334,115,88,50,28,2544,444,399,85,129,1163,1196,355,356,316,204,6.0,177.0
3005,0.180601,359,333,692,150,101,56,32,30,48,236,240,146,176,82,94,48,74,60,44,6,14,0,0,0,0,2416,35,22,3,10,84,84,34,26,25,19,,
3006,1.71997,5862,5440,11302,2992,2026,390,422,664,592,4790,4886,2232,2802,1020,1194,918,836,592,670,200,252,33,32,4,3,2235,666,584,151,162,1846,1763,446,459,440,281,265.0,1195.0
3008,2.82132,2680,2416,5096,1398,812,204,252,288,246,1686,1756,1084,1314,564,628,614,624,298,428,78,98,7,8,0,0,2417,251,244,59,51,739,628,201,206,198,129,101.0,663.0
3010,0.540301,712,805,1517,14,0,24,6,790,652,722,686,18,32,12,14,26,26,18,10,0,0,0,0,0,0,3650,39,30,6,8,52,66,8,11,18,24,,
3011,5.9224,9473,8580,18053,3369,3238,1866,1956,1112,1342,4082,4670,3682,4136,2194,2558,1738,1916,1006,1098,760,734,269,229,90,40,1435,608,552,180,312,1616,1688,701,614,942,509,385.0,1958.0
3012,15.3387,11952,11175,23127,3352,4945,2756,2984,2072,2082,4064,4898,4380,4992,3238,3450,2332,2432,1382,1436,1110,920,440,315,68,39,1402,569,438,179,331,1573,1787,848,767,1501,819,249.0,1543.0
3013,5.62044,6690,7057,13747,1693,3558,1960,1894,1070,1206,1864,1824,3156,2892,2294,2362,1442,1452,848,754,746,570,295,188,72,25,2032,305,368,152,298,1145,1390,440,558,926,525,101.0,785.0
3015,8.84006,7993,8164,16157,1801,4212,2326,2392,1536,1590,2018,2244,3214,3024,2716,2632,2002,1964,1074,988,738,642,283,219,69,36,2077,361,378,136,313,1175,1461,537,687,1337,569,107.0,956.0
3016,7.34692,7269,7478,14747,1542,3844,1814,1998,1948,2142,1304,1306,1948,1654,2802,2584,2186,2224,1352,1470,800,662,335,222,67,27,2362,458,391,168,338,1182,1350,540,609,1022,453,148.0,1030.0
3018,17.6848,5831,5948,11779,1378,3361,1224,1208,1018,1146,1252,1490,1708,1684,1768,1778,1560,1552,1424,1348,1062,864,378,259,62,37,1564,188,187,75,156,628,749,392,444,1292,502,122.0,713.0
3019,4.32543,4056,4124,8180,1205,1298,1130,1150,1058,1092,1438,1584,1258,1290,1100,998,978,894,564,562,416,344,141,96,12,3,894,120,77,21,23,371,375,194,193,369,271,104.0,799.0
3020,24.9667,20413,20139,40552,3802,9074,4674,4734,4668,4844,6460,7602,5910,6184,5086,5304,4638,4590,3850,3704,2886,2558,891,594,162,59,1003,417,336,116,195,1575,1734,1130,1116,2538,1407,759.0,3610.0
3021,19.8638,25738,26045,51783,4445,11459,6348,6530,6326,6592,8134,8894,7402,7162,6642,6592,6956,6288,5460,5368,3156,2934,754,510,80,47,967,331,303,98,150,1503,1831,1284,1315,3347,1983,758.0,3199.0
3022,2.0241,1431,1392,2823,279,673,324,332,278,328,398,462,426,476,340,344,284,338,276,254,174,198,115,55,27,10,1002,25,23,11,13,81,94,67,83,229,113,31.0,546.0
3023,27.9781,27887,27816,55703,3466,12955,9310,9968,7178,7516,8610,8708,11418,11140,8028,7892,5534,5374,3258,3380,1444,1308,380,218,46,25,1490,672,574,215,308,2499,3380,1477,1873,4000,2416,644.0,3235.0
3024,250.356,8827,9169,17996,1416,4351,3364,3376,2366,2518,3194,2822,3492,3284,2402,2394,1718,1686,1114,1042,430,402,96,63,32,3,1444,188,165,60,94,486,726,424,610,1721,1076,124.0,868.0
3025,14.0304,5668,5711,11379,1097,2733,1412,1374,1184,1304,1394,1626,1596,1768,1246,1440,1072,1026,1228,1006,1390,1160,386,285,63,31,1049,85,96,35,59,391,438,237,237,852,368,149.0,903.0
3026,15.4611,75,16,91,28,21,0,0,0,14,6,6,6,20,0,24,18,30,6,46,6,6,0,0,0,0,749,0,0,0,0,3,0,0,0,12,0,70.0,461.0
3027,5.84968,1695,1528,3223,248,771,568,660,266,302,728,700,814,978,344,416,204,216,94,88,30,24,4,3,0,0,1880,144,106,27,39,249,285,154,112,211,137,5.0,156.0
3028,13.9025,13835,13946,27781,2563,6833,3406,3446,3276,3670,4324,4688,4112,4354,4504,4110,3788,3572,2346,2206,1400,1198,305,198,62,15,1335,334,316,104,176,1083,1402,804,946,2544,1249,310.0,1467.0
3029,70.5113,34398,34028,68426,5233,15778,10832,11448,9750,9794,11626,11362,11828,12210,9746,9868,7192,7342,4376,4416,1814,1748,395,278,50,26,1492,1211,914,284,376,2709,3527,1974,2268,5869,3418,621.0,4180.0
3030,177.598,38552,39203,77755,6754,18456,12976,13742,9690,10142,11702,10772,15418,15014,11580,11844,7946,7666,4656,4608,2530,2230,800,477,154,66,1649,1538,1221,415,627,3774,4741,2372,2883,6259,3618,708.0,4514.0
3031,5.01887,8274,8971,17245,3967,3057,2066,2166,1386,1234,4444,3816,3900,3736,2260,2268,1590,1564,1050,926,728,538,215,132,44,18,1953,579,639,205,370,1833,2225,546,590,745,533,294.0,1302.0
3032,9.7493,12495,12848,25343,3631,5699,3070,3018,2258,2304,5410,5456,4698,4654,3728,3640,2926,2890,1732,1672,1106,856,334,225,50,25,1892,779,662,246,442,2231,2556,843,1013,1475,912,303.0,2281.0
3033,10.1552,6476,6783,13259,718,3806,1450,1504,1398,1506,1384,1472,1732,1698,1978,1854,1546,1358,2080,1656,1334,1364,269,240,64,28,1385,112,97,78,115,614,744,392,452,1275,524,187.0,521.0
3034,5.40848,5353,5636,10989,689,3156,1040,1078,1020,1158,1266,1462,1430,1430,1472,1336,1440,1188,1552,1376,1312,1120,308,248,62,31,1282,115,114,52,65,602,695,282,362,926,405,61.0,251.0
3036,13.0867,2893,2950,5843,186,1682,576,622,762,912,602,708,600,544,884,802,938,832,778,750,404,390,161,102,17,10,1845,52,50,39,60,294,385,185,212,626,227,15.0,207.0
3037,22.5527,23262,23616,46878,2445,11083,8058,8326,7024,7272,6602,6822,8930,8284,7510,7186,4722,4688,2562,2558,1118,1018,307,158,46,27,1558,408,413,162,260,1772,2424,1258,1608,4014,2168,335.0,1896.0
3038,13.3506,14078,14080,28158,1028,7345,2914,3146,4278,4712,3856,4358,3164,2914,5088,4266,4646,4484,2394,2716,1170,1142,283,195,41,15,1618,203,164,115,181,1224,1431,780,948,2606,1181,229.0,1433.0
3039,4.3554,6520,7011,13531,1710,3395,1538,1670,1346,1304,2098,2006,2374,2232,2116,2008,1696,1560,1126,1122,864,656,342,194,91,46,2190,355,368,152,307,1176,1380,445,530,820,420,147.0,1090.0
3040,8.73522,11463,12405,23868,2771,5868,2572,2656,3156,3184,3762,3398,3252,3056,3784,3462,3318,3274,1834,1892,1434,1032,672,417,177,69,2147,602,507,229,423,1932,2352,837,995,1666,819,199.0,1136.0
3041,8.23217,5603,5727,11330,742,3082,1272,1522,1584,1636,1246,1446,1442,1216,1878,1730,1616,1640,990,968,734,582,284,200,62,34,2026,221,190,104,190,768,871,384,453,967,413,67.0,511.0
3042,8.59197,6948,7424,14372,1149,4271,1678,1638,1394,1554,1672,1874,2248,2060,2084,2046,1766,1510,1720,1422,1374,1102,424,325,32,20,1463,140,148,67,129,618,836,434,523,1489,638,118.0,1148.0
3043,13.3416,8536,8814,17350,1536,4735,1840,1938,1854,1952,2460,2502,2580,2566,2330,2250,2330,2106,2364,2114,1244,1194,281,213,32,12,1337,119,111,66,119,600,812,505,631,1801,877,214.0,1216.0
3044,7.92471,11915,12505,24420,2336,6578,3104,3232,2564,2814,3124,3472,4090,3864,3776,3688,2700,2608,1722,1566,1836,1240,881,586,167,87,1577,403,418,164,331,1472,1761,795,880,1937,932,165.0,1063.0
3045,30.3849,68,74,142,9,10,18,18,30,12,18,20,12,30,36,34,12,14,12,6,12,0,0,0,0,0,2166,0,3,0,0,4,8,3,3,11,4,39.0,446.0
3046,13.9578,15340,15462,30802,3028,7628,3494,3940,3320,3586,4556,5368,4630,4782,4114,3980,3020,3028,2552,2228,2888,2166,1009,727,166,74,1202,426,352,126,265,1308,1549,940,964,2460,1159,456.0,1590.0
3047,11.4851,9513,9488,19001,1911,3475,2800,2992,2800,2936,2858,3244,2568,2524,2460,2530,1920,1966,1570,1328,1352,1002,306,240,17,12,843,96,81,23,33,386,426,344,383,1028,653,579.0,2113.0
3048,7.76082,8907,9200,18107,1428,3485,2918,3036,3148,3208,2786,2670,2504,2472,2738,2556,1950,1788,1362,1264,710,680,120,60,21,11,884,74,39,24,38,344,418,303,393,937,633,360.0,874.0
3049,10.0727,4304,4481,8785,454,2418,1016,992,1246,1208,1242,1342,1130,1080,1396,1354,1446,1248,878,838,412,408,81,65,17,3,1567,38,31,34,50,246,390,235,325,957,427,98.0,309.0
3051,2.38918,5924,5831,11755,3056,1473,826,914,1146,1176,4132,3938,2064,2354,1252,1266,944,992,596,660,444,376,106,73,23,13,1734,541,535,114,225,1430,1534,328,338,420,311,200.0,987.0
3052,3.50839,2215,2458,4673,885,605,258,246,538,438,1764,1542,644,702,416,412,408,366,342,348,182,210,127,65,55,18,1939,297,297,52,96,558,654,105,126,136,88,139.0,512.0
3053,1.69631,6491,7018,13509,4520,1284,682,760,1696,1402,6966,6212,1874,2000,908,800,768,722,632,622,342,314,81,67,3,8,1295,596,642,120,179,1534,1816,358,371,311,273,177.0,1437.0
3054,2.30411,3909,4387,8296,1778,1626,644,684,526,480,2634,2122,1676,1586,1034,952,804,770,784,676,382,308,123,103,22,17,2285,479,534,134,266,1149,1369,246,287,270,205,57.0,391.0
3055,3.17928,6457,6692,13149,2529,2868,1266,1308,906,956,3076,3092,2648,2580,1796,1712,1394,1300,934,908,760,614,241,189,60,33,1630,466,496,168,304,1196,1452,476,550,718,447,77.0,521.0
3056,5.14247,11127,11637,22764,4416,4634,1960,2050,1278,1368,6220,5600,5410,5396,2720,2982,2134,1988,1444,1296,1232,1004,345,256,92,29,1809,943,1098,332,616,2478,3081,803,809,1064,609,280.0,1818.0
3057,2.16804,3958,4518,8476,1618,1869,770,754,488,484,2376,1912,2030,1964,1166,1060,782,662,578,464,538,374,135,111,19,11,1933,320,418,112,219,938,1248,276,303,398,234,60.0,477.0
3058,11.8119,15423,16127,31550,3475,7607,3968,3910,2710,2982,5362,5700,5758,5438,4682,4526,3522,3178,2332,2184,2194,1750,718,535,145,54,1473,749,791,297,583,2125,2695,975,1102,1955,1024,369.0,2353.0
3059,18.2653,6040,5929,11969,192,3109,1428,1430,2252,2292,1556,1618,1332,1262,2296,2038,1714,1888,870,1022,306,428,48,48,3,3,1748,86,59,30,49,460,565,359,420,1103,514,60.0,386.0
3060,5.08493,6225,6371,12596,1007,3032,1744,1766,1532,1482,1526,1886,1696,1760,1524,1608,1210,1144,994,890,1426,1052,485,390,59,42,995,200,110,31,52,441,485,317,281,817,403,172.0,738.0
3061,12.3927,2835,2632,5467,421,1156,778,832,706,770,844,888,664,784,560,722,520,502,672,584,370,432,67,74,7,4,824,37,21,11,11,124,106,105,102,313,152,147.0,1061.0
3062,5.41011,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,107.0
3063,64.6076,351,328,679,44,147,72,72,80,98,78,120,78,70,98,106,86,82,96,74,44,54,8,11,3,3,1442,9,7,5,4,24,34,15,16,69,30,9.0,11.0
