POSTCODE,CRIMETYPE,CRIMES
3000,Personal,2460.0
3002,Personal,94.0
3003,Personal,77.0
3004,Personal,6.0
3005,Personal,
3006,Personal,265.0
3008,Personal,101.0
3010,Personal,
3011,Personal,385.0
3012,Personal,249.0
3013,Personal,101.0
3015,Personal,107.0
3016,Personal,148.0
3018,Personal,122.0
3019,Personal,104.0
3020,Personal,759.0
3021,Personal,758.0
3022,Personal,31.0
3023,Personal,644.0
3024,Personal,124.0
3025,Personal,149.0
3026,Personal,70.0
3027,Personal,5.0
3028,Personal,310.0
3029,Personal,621.0
3030,Personal,708.0
3031,Personal,294.0
3032,Personal,303.0
3033,Personal,187.0
3034,Personal,61.0
3036,Personal,15.0
3037,Personal,335.0
3038,Personal,229.0
3039,Personal,147.0
3040,Personal,199.0
3041,Personal,67.0
3042,Personal,118.0
3043,Personal,214.0
3044,Personal,165.0
3045,Personal,39.0
3046,Personal,456.0
3047,Personal,579.0
3048,Personal,360.0
3049,Personal,98.0
3051,Personal,200.0
3052,Personal,139.0
3053,Personal,177.0
3054,Personal,57.0
3055,Personal,77.0
3056,Personal,280.0
3057,Personal,60.0
3058,Personal,369.0
3059,Personal,60.0
3060,Personal,172.0
3061,Personal,147.0
3062,Personal,9.0
3063,Personal,9.0
3064,Personal,762.0
3065,Personal,285.0
3066,Personal,235.0
3067,Personal,92.0
3068,Personal,131.0
3070,Personal,162.0
3071,Personal,154.0
3072,Personal,562.0
3073,Personal,476.0
3074,Personal,323.0
3075,Personal,237.0
3076,Personal,414.0
3078,Personal,66.0
3079,Personal,84.0
3081,Personal,361.0
3082,Personal,292.0
3083,Personal,202.0
3084,Personal,180.0
3085,Personal,101.0
3086,Personal,
3087,Personal,86.0
3088,Personal,268.0
3089,Personal,95.0
3090,Personal,9.0
3091,Personal,3.0
3093,Personal,24.0
3094,Personal,63.0
3095,Personal,131.0
3096,Personal,5.0
3097,Personal,3.0
3099,Personal,44.0
3101,Personal,107.0
3102,Personal,20.0
3103,Personal,32.0
3104,Personal,56.0
3105,Personal,49.0
3106,Personal,63.0
