POSTCODE,FREQUENTAGE,CRIMETYPE,CRIMES
3000,20-29F,Personal,2460.0
3002,20-29F,Personal,94.0
3003,20-29M,Personal,77.0
3004,20-29F,Personal,6.0
3005,20-29M,Personal,
3006,20-29M,Personal,265.0
3008,20-29M,Personal,101.0
3010,10-19F,Personal,
3011,20-29M,Personal,385.0
3012,30-39M,Personal,249.0
3013,30-39F,Personal,101.0
3015,30-39F,Personal,107.0
3016,40-49F,Personal,148.0
3018,40-49M,Personal,122.0
3019,20-29M,Personal,104.0
3020,20-29M,Personal,759.0
3021,20-29M,Personal,758.0
3022,30-39M,Personal,31.0
3023,30-39F,Personal,644.0
3024,30-39F,Personal,124.0
3025,30-39M,Personal,149.0
3026,60-69M,Personal,70.0
3027,30-39M,Personal,5.0
3028,20-29M,Personal,310.0
3029,30-39M,Personal,621.0
3030,30-39F,Personal,708.0
3031,20-29F,Personal,294.0
3032,20-29M,Personal,303.0
3033,60-69F,Personal,187.0
3034,60-69F,Personal,61.0
3036,50-59F,Personal,15.0
3037,30-39F,Personal,335.0
3038,40-49F,Personal,229.0
3039,30-39F,Personal,147.0
3040,40-49F,Personal,199.0
3041,40-49F,Personal,67.0
3042,30-39F,Personal,118.0
3043,30-39F,Personal,214.0
3044,30-39F,Personal,165.0
3045,40-49F,Personal,39.0
3046,20-29M,Personal,456.0
3047,20-29M,Personal,579.0
3048,10-19M,Personal,360.0
3049,50-59F,Personal,98.0
3051,20-29F,Personal,200.0
3052,20-29F,Personal,139.0
3053,20-29F,Personal,177.0
3054,20-29F,Personal,57.0
3055,20-29M,Personal,77.0
3056,20-29F,Personal,280.0
3057,20-29F,Personal,60.0
3058,30-39F,Personal,369.0
3059,40-49F,Personal,60.0
3060,20-29M,Personal,172.0
3061,20-29M,Personal,147.0
3062,60-69M,Personal,9.0
3063,20-29M,Personal,9.0
3064,0-9M,Personal,762.0
3065,20-29F,Personal,285.0
3066,30-39M,Personal,235.0
3067,30-39M,Personal,92.0
3068,30-39F,Personal,131.0
3070,30-39F,Personal,162.0
3071,30-39F,Personal,154.0
3072,30-39M,Personal,562.0
3073,20-29M,Personal,476.0
3074,20-29M,Personal,323.0
3075,30-39M,Personal,237.0
3076,30-39F,Personal,414.0
3078,40-49F,Personal,66.0
3079,40-49F,Personal,84.0
3081,20-29M,Personal,361.0
3082,40-49F,Personal,292.0
3083,20-29M,Personal,202.0
3084,40-49F,Personal,180.0
3085,30-39F,Personal,101.0
3086,20-29F,Personal,
3087,30-39F,Personal,86.0
3088,50-59F,Personal,268.0
3089,40-49F,Personal,95.0
3090,40-49M,Personal,9.0
3091,40-49F,Personal,3.0
3093,40-49F,Personal,24.0
3094,50-59F,Personal,63.0
3095,50-59F,Personal,131.0
3096,10-19F,Personal,5.0
3097,10-19M,Personal,3.0
3099,50-59F,Personal,44.0
3101,40-49F,Personal,107.0
3102,40-49F,Personal,20.0
3103,40-49F,Personal,32.0
3104,10-19M,Personal,56.0
3105,40-49F,Personal,49.0
3106,40-49F,Personal,63.0
3107,40-49F,Personal,48.0
3108,40-49F,Personal,145.0
3109,40-49F,Personal,112.0
3111,40-49F,Personal,25.0
3113,40-49F,Personal,30.0
3114,10-19M,Personal,53.0
3115,10-19M,Personal,8.0
3116,50-59F,Personal,38.0
3121,20-29F,Personal,369.0
3122,20-29M,Personal,183.0
3123,20-29M,Personal,29.0
3124,40-49F,Personal,97.0
3125,20-29F,Personal,88.0
3126,40-49F,Personal,28.0
3127,40-49F,Personal,58.0
3128,20-29M,Personal,228.0
3129,40-49F,Personal,53.0
3130,40-49F,Personal,136.0
3131,30-39F,Personal,108.0
3132,30-39F,Personal,63.0
3133,50-59F,Personal,67.0
3134,40-49F,Personal,283.0
3135,40-49F,Personal,112.0
3136,40-49F,Personal,485.0
3137,40-49F,Personal,96.0
3138,20-29M,Personal,201.0
3139,40-49F,Personal,65.0
3140,40-49F,Personal,221.0
3141,20-29F,Personal,235.0
3142,20-29F,Personal,80.0
3143,20-29F,Personal,47.0
3144,20-29F,Personal,75.0
3145,20-29M,Personal,128.0
3146,40-49F,Personal,97.0
3147,40-49F,Personal,98.0
3148,20-29M,Personal,130.0
3149,40-49F,Personal,136.0
3150,40-49F,Personal,228.0
3151,20-29M,Personal,45.0
3152,50-59F,Personal,275.0
3153,30-39M,Personal,222.0
3154,40-49M,Personal,23.0
3155,30-39F,Personal,301.0
3156,40-49F,Personal,289.0
3158,50-59F,Personal,50.0
3159,40-49F,Personal,8.0
3160,40-49F,Personal,47.0
3161,20-29F,Personal,62.0
3162,40-49F,Personal,113.0
3163,20-29M,Personal,125.0
3165,40-49F,Personal,140.0
3166,20-29M,Personal,173.0
3167,20-29M,Personal,71.0
3168,20-29M,Personal,202.0
3169,20-29M,Personal,147.0
3170,30-39F,Personal,110.0
3171,20-29M,Personal,289.0
3172,10-19M,Personal,158.0
3173,30-39F,Personal,167.0
3174,20-29M,Personal,547.0
3175,20-29M,Personal,1274.0
3177,20-29M,Personal,247.0
3178,40-49F,Personal,197.0
3179,40-49F,Personal,39.0
3180,40-49F,Personal,48.0
3181,20-29F,Personal,368.0
3182,20-29F,Personal,593.0
3183,20-29F,Personal,128.0
3184,30-39F,Personal,130.0
3185,30-39F,Personal,68.0
3186,40-49F,Personal,107.0
3187,40-49F,Personal,55.0
3188,40-49F,Personal,130.0
3189,30-39M,Personal,132.0
3190,30-39F,Personal,99.0
3191,40-49F,Personal,54.0
3192,30-39F,Personal,186.0
3193,40-49F,Personal,58.0
3194,40-49F,Personal,110.0
3195,40-49F,Personal,285.0
3196,30-39F,Personal,245.0
3197,40-49F,Personal,106.0
3198,30-39M,Personal,257.0
3199,40-49F,Personal,1171.0
3200,20-29F,Personal,153.0
3201,30-39M,Personal,260.0
3202,0-9M,Personal,19.0
3204,40-49F,Personal,155.0
3205,30-39F,Personal,267.0
3206,30-39F,Personal,71.0
3207,30-39F,Personal,282.0
3211,50-59M,Personal,3.0
3212,30-39M,Personal,185.0
3214,10-19M,Personal,578.0
3215,20-29F,Personal,170.0
3216,20-29M,Personal,315.0
3217,20-29M,Personal,1.0
3218,20-29F,Personal,110.0
3219,40-49F,Personal,223.0
3220,40-49F,Personal,400.0
3221,10-19M,Personal,39.0
3222,50-59F,Personal,50.0
3223,60-69F,Personal,34.0
3224,30-39F,Personal,36.0
3225,60-69F,Personal,19.0
3226,50-59F,Personal,35.0
3227,40-49F,Personal,12.0
3228,0-9M,Personal,66.0
3230,60-69F,Personal,16.0
3231,40-49F,Personal,10.0
3232,50-59F,Personal,23.0
3233,50-59M,Personal,25.0
3235,50-59F,Personal,2.0
3236,50-59M,Personal,
3237,50-59M,Personal,1.0
3238,50-59M,Personal,5.0
3239,50-59M,Personal,6.0
3240,40-49F,Personal,4.0
3241,50-59F,Personal,22.0
3242,10-19M,Personal,1.0
3243,50-59M,Personal,2.0
3249,40-49M,Personal,17.0
3250,0-9M,Personal,218.0
3251,50-59M,Personal,
3254,0-9M,Personal,3.0
3260,60-69M,Personal,43.0
3264,10-19M,Personal,13.0
3265,50-59M,Personal,62.0
3266,10-19M,Personal,15.0
3267,0-9F,Personal,
3268,10-19F,Personal,8.0
3269,50-59M,Personal,8.0
3270,60-69F,Personal,2.0
3272,50-59M,Personal,16.0
3273,50-59M,Personal,3.0
3274,50-59M,Personal,1.0
3275,10-19F,Personal,
3276,40-49F,Personal,7.0
3277,10-19M,Personal,13.0
3278,40-49M,Personal,
3280,10-19M,Personal,474.0
3281,10-19F,Personal,2.0
3282,50-59F,Personal,26.0
3283,50-59F,Personal,8.0
3284,60-69F,Personal,20.0
3285,10-19M,Personal,3.0
3286,40-49F,Personal,4.0
3287,40-49F,Personal,1.0
3289,50-59M,Personal,1.0
3292,60-69M,Personal,
3293,40-49M,Personal,2.0
