Code,variable,value
3000,Non_sch_quals_PostGrad_Dgre_M,1056
3002,Non_sch_quals_PostGrad_Dgre_M,305
3003,Non_sch_quals_PostGrad_Dgre_M,156
3004,Non_sch_quals_PostGrad_Dgre_M,444
3005,Non_sch_quals_PostGrad_Dgre_M,35
3006,Non_sch_quals_PostGrad_Dgre_M,666
3008,Non_sch_quals_PostGrad_Dgre_M,251
3010,Non_sch_quals_PostGrad_Dgre_M,39
3011,Non_sch_quals_PostGrad_Dgre_M,608
3012,Non_sch_quals_PostGrad_Dgre_M,569
3013,Non_sch_quals_PostGrad_Dgre_M,305
3015,Non_sch_quals_PostGrad_Dgre_M,361
3016,Non_sch_quals_PostGrad_Dgre_M,458
3018,Non_sch_quals_PostGrad_Dgre_M,188
3019,Non_sch_quals_PostGrad_Dgre_M,120
3020,Non_sch_quals_PostGrad_Dgre_M,417
3021,Non_sch_quals_PostGrad_Dgre_M,331
3022,Non_sch_quals_PostGrad_Dgre_M,25
3023,Non_sch_quals_PostGrad_Dgre_M,672
3024,Non_sch_quals_PostGrad_Dgre_M,188
3025,Non_sch_quals_PostGrad_Dgre_M,85
3026,Non_sch_quals_PostGrad_Dgre_M,0
3027,Non_sch_quals_PostGrad_Dgre_M,144
3028,Non_sch_quals_PostGrad_Dgre_M,334
3029,Non_sch_quals_PostGrad_Dgre_M,1211
3030,Non_sch_quals_PostGrad_Dgre_M,1538
3031,Non_sch_quals_PostGrad_Dgre_M,579
3032,Non_sch_quals_PostGrad_Dgre_M,779
3033,Non_sch_quals_PostGrad_Dgre_M,112
3034,Non_sch_quals_PostGrad_Dgre_M,115
3036,Non_sch_quals_PostGrad_Dgre_M,52
3037,Non_sch_quals_PostGrad_Dgre_M,408
3038,Non_sch_quals_PostGrad_Dgre_M,203
3039,Non_sch_quals_PostGrad_Dgre_M,355
3040,Non_sch_quals_PostGrad_Dgre_M,602
3041,Non_sch_quals_PostGrad_Dgre_M,221
3042,Non_sch_quals_PostGrad_Dgre_M,140
3043,Non_sch_quals_PostGrad_Dgre_M,119
3044,Non_sch_quals_PostGrad_Dgre_M,403
3045,Non_sch_quals_PostGrad_Dgre_M,0
3046,Non_sch_quals_PostGrad_Dgre_M,426
3047,Non_sch_quals_PostGrad_Dgre_M,96
3048,Non_sch_quals_PostGrad_Dgre_M,74
3049,Non_sch_quals_PostGrad_Dgre_M,38
3051,Non_sch_quals_PostGrad_Dgre_M,541
3052,Non_sch_quals_PostGrad_Dgre_M,297
3053,Non_sch_quals_PostGrad_Dgre_M,596
3054,Non_sch_quals_PostGrad_Dgre_M,479
3055,Non_sch_quals_PostGrad_Dgre_M,466
3056,Non_sch_quals_PostGrad_Dgre_M,943
3057,Non_sch_quals_PostGrad_Dgre_M,320
3058,Non_sch_quals_PostGrad_Dgre_M,749
3059,Non_sch_quals_PostGrad_Dgre_M,86
3060,Non_sch_quals_PostGrad_Dgre_M,200
3061,Non_sch_quals_PostGrad_Dgre_M,37
3062,Non_sch_quals_PostGrad_Dgre_M,0
3063,Non_sch_quals_PostGrad_Dgre_M,9
3064,Non_sch_quals_PostGrad_Dgre_M,515
3065,Non_sch_quals_PostGrad_Dgre_M,392
3066,Non_sch_quals_PostGrad_Dgre_M,195
3067,Non_sch_quals_PostGrad_Dgre_M,167
3068,Non_sch_quals_PostGrad_Dgre_M,863
3070,Non_sch_quals_PostGrad_Dgre_M,867
3071,Non_sch_quals_PostGrad_Dgre_M,479
3072,Non_sch_quals_PostGrad_Dgre_M,634
3073,Non_sch_quals_PostGrad_Dgre_M,772
3074,Non_sch_quals_PostGrad_Dgre_M,181
3075,Non_sch_quals_PostGrad_Dgre_M,144
3076,Non_sch_quals_PostGrad_Dgre_M,313
3078,Non_sch_quals_PostGrad_Dgre_M,422
3079,Non_sch_quals_PostGrad_Dgre_M,652
3081,Non_sch_quals_PostGrad_Dgre_M,288
3082,Non_sch_quals_PostGrad_Dgre_M,274
3083,Non_sch_quals_PostGrad_Dgre_M,608
3084,Non_sch_quals_PostGrad_Dgre_M,860
3085,Non_sch_quals_PostGrad_Dgre_M,332
3086,Non_sch_quals_PostGrad_Dgre_M,19
3087,Non_sch_quals_PostGrad_Dgre_M,127
3088,Non_sch_quals_PostGrad_Dgre_M,380
3089,Non_sch_quals_PostGrad_Dgre_M,120
3090,Non_sch_quals_PostGrad_Dgre_M,35
3091,Non_sch_quals_PostGrad_Dgre_M,26
3093,Non_sch_quals_PostGrad_Dgre_M,89
3094,Non_sch_quals_PostGrad_Dgre_M,153
3095,Non_sch_quals_PostGrad_Dgre_M,636
3096,Non_sch_quals_PostGrad_Dgre_M,16
3097,Non_sch_quals_PostGrad_Dgre_M,35
3099,Non_sch_quals_PostGrad_Dgre_M,77
3101,Non_sch_quals_PostGrad_Dgre_M,1257
3102,Non_sch_quals_PostGrad_Dgre_M,215
3103,Non_sch_quals_PostGrad_Dgre_M,683
3104,Non_sch_quals_PostGrad_Dgre_M,755
3105,Non_sch_quals_PostGrad_Dgre_M,250
3106,Non_sch_quals_PostGrad_Dgre_M,528
3107,Non_sch_quals_PostGrad_Dgre_M,313
3108,Non_sch_quals_PostGrad_Dgre_M,555
3109,Non_sch_quals_PostGrad_Dgre_M,721
3111,Non_sch_quals_PostGrad_Dgre_M,267
3113,Non_sch_quals_PostGrad_Dgre_M,232
3114,Non_sch_quals_PostGrad_Dgre_M,73
3115,Non_sch_quals_PostGrad_Dgre_M,55
3116,Non_sch_quals_PostGrad_Dgre_M,60
3121,Non_sch_quals_PostGrad_Dgre_M,853
3122,Non_sch_quals_PostGrad_Dgre_M,1268
3123,Non_sch_quals_PostGrad_Dgre_M,707
3124,Non_sch_quals_PostGrad_Dgre_M,979
3125,Non_sch_quals_PostGrad_Dgre_M,430
3126,Non_sch_quals_PostGrad_Dgre_M,418
3127,Non_sch_quals_PostGrad_Dgre_M,819
3128,Non_sch_quals_PostGrad_Dgre_M,570
3129,Non_sch_quals_PostGrad_Dgre_M,492
3130,Non_sch_quals_PostGrad_Dgre_M,842
3131,Non_sch_quals_PostGrad_Dgre_M,517
3132,Non_sch_quals_PostGrad_Dgre_M,375
3133,Non_sch_quals_PostGrad_Dgre_M,547
3134,Non_sch_quals_PostGrad_Dgre_M,545
3135,Non_sch_quals_PostGrad_Dgre_M,325
3136,Non_sch_quals_PostGrad_Dgre_M,418
3137,Non_sch_quals_PostGrad_Dgre_M,42
3138,Non_sch_quals_PostGrad_Dgre_M,156
3139,Non_sch_quals_PostGrad_Dgre_M,50
3140,Non_sch_quals_PostGrad_Dgre_M,112
3141,Non_sch_quals_PostGrad_Dgre_M,959
3142,Non_sch_quals_PostGrad_Dgre_M,612
3143,Non_sch_quals_PostGrad_Dgre_M,395
3144,Non_sch_quals_PostGrad_Dgre_M,486
3145,Non_sch_quals_PostGrad_Dgre_M,840
3146,Non_sch_quals_PostGrad_Dgre_M,1057
3147,Non_sch_quals_PostGrad_Dgre_M,462
3148,Non_sch_quals_PostGrad_Dgre_M,229
3149,Non_sch_quals_PostGrad_Dgre_M,1135
3150,Non_sch_quals_PostGrad_Dgre_M,2110
3151,Non_sch_quals_PostGrad_Dgre_M,310
3152,Non_sch_quals_PostGrad_Dgre_M,587
3153,Non_sch_quals_PostGrad_Dgre_M,195
3154,Non_sch_quals_PostGrad_Dgre_M,33
3155,Non_sch_quals_PostGrad_Dgre_M,173
3156,Non_sch_quals_PostGrad_Dgre_M,338
3158,Non_sch_quals_PostGrad_Dgre_M,83
3159,Non_sch_quals_PostGrad_Dgre_M,29
3160,Non_sch_quals_PostGrad_Dgre_M,117
3161,Non_sch_quals_PostGrad_Dgre_M,573
3162,Non_sch_quals_PostGrad_Dgre_M,531
3163,Non_sch_quals_PostGrad_Dgre_M,1417
3165,Non_sch_quals_PostGrad_Dgre_M,464
3166,Non_sch_quals_PostGrad_Dgre_M,691
3167,Non_sch_quals_PostGrad_Dgre_M,168
3168,Non_sch_quals_PostGrad_Dgre_M,860
3169,Non_sch_quals_PostGrad_Dgre_M,389
3170,Non_sch_quals_PostGrad_Dgre_M,425
3171,Non_sch_quals_PostGrad_Dgre_M,269
3172,Non_sch_quals_PostGrad_Dgre_M,171
3173,Non_sch_quals_PostGrad_Dgre_M,171
3174,Non_sch_quals_PostGrad_Dgre_M,415
3175,Non_sch_quals_PostGrad_Dgre_M,502
3177,Non_sch_quals_PostGrad_Dgre_M,63
3178,Non_sch_quals_PostGrad_Dgre_M,505
3179,Non_sch_quals_PostGrad_Dgre_M,98
3180,Non_sch_quals_PostGrad_Dgre_M,81
3181,Non_sch_quals_PostGrad_Dgre_M,655
3182,Non_sch_quals_PostGrad_Dgre_M,826
3183,Non_sch_quals_PostGrad_Dgre_M,608
3184,Non_sch_quals_PostGrad_Dgre_M,560
3185,Non_sch_quals_PostGrad_Dgre_M,445
3186,Non_sch_quals_PostGrad_Dgre_M,854
3187,Non_sch_quals_PostGrad_Dgre_M,444
3188,Non_sch_quals_PostGrad_Dgre_M,547
3189,Non_sch_quals_PostGrad_Dgre_M,89
3190,Non_sch_quals_PostGrad_Dgre_M,188
3191,Non_sch_quals_PostGrad_Dgre_M,308
3192,Non_sch_quals_PostGrad_Dgre_M,336
3193,Non_sch_quals_PostGrad_Dgre_M,531
3194,Non_sch_quals_PostGrad_Dgre_M,235
3195,Non_sch_quals_PostGrad_Dgre_M,570
3196,Non_sch_quals_PostGrad_Dgre_M,260
3197,Non_sch_quals_PostGrad_Dgre_M,112
3198,Non_sch_quals_PostGrad_Dgre_M,98
3199,Non_sch_quals_PostGrad_Dgre_M,416
3200,Non_sch_quals_PostGrad_Dgre_M,16
3201,Non_sch_quals_PostGrad_Dgre_M,74
